"","text"
"1","yang mau tembak vaksin tan vaksinisasisuntik bisa chat harga k rdosis bayar setelah jadi bisa tembus duli "
"2","jasa sertifikat vaksin dosis   am booster sertifikat tembus duli lindungibisa digunakan untuk scan syar "
"3","yang mau tembak vaksin tan vaksinisasisuntik bisa chat harga k rdosis bayar setelah jadi bisa tembus duli "
"4","yang mau tembak vaksin tan vaksinisasisuntik bisa chat harga k rdosis bayar setelah jadi bisa tembus duli "
"5","sekarang kemana msih hrus scan duli lindungi gak si kamera belakang gw rusak trus kamera dennya gak bisa buat scan barcode "
"6"," segera download duli lindungi"
"7"," ih ya allahhh bangga banget lah mamakku pasti pas aku pulang cerita makk aku ketemu stafsus presiden yang buat peduli"
"8","udah ada peduli lindungi masih minta print vaksin ga praktis bgt"
"9","jasa sertifikat vaksindosis  am booster harga rbdosissertifikat tembus a duli lindungibisa digunak "
"10"," ga nya kartu atm adanya kartu duli lindungi"
"11","ih ya allahhh bangga banget lah mamakku pasti pas aku pulang cerita makk aku ketemu stafsus presiden yang buat pe "
"12"," aikasi duli lindungi"
"13"," hubungi duli lindungi s gue salah nomor terus mau diubah bisa"
"14","jasa sertifikat vaksin dosis   am booster harga rbdosistembus diaikasi duli lindungiminat "
"15"," engga sih ta kan ada scan duli lindungi klo diharusin berarti"
"16","khairulk resct you onion tho cm ttaja indo terlalu lax buat masalah begini seenganya jgn k "
"17","minjem akun duli lindungi kok maksa sih"
"18","a duli lindungi ini masih dike gak sih kalo ngga mau gweh as kehadirannya kek siswa yang hadir gak hadir ke "
"19","jae ke duli lindungi "
"20"," peduli lindungi coming soon"
"21"," gimana caranya ya kak soalnya di duli lindungi cuma bisa login ke no hsm email"
"22"," kominfo dan bssn data di peduli lindungi aman karena keamananya berlas dan dienkriisekarang sebanyak  milyar data"
"23","langsung diultimatum buat lih jadwal tiket kudu ere buat cet fit sebelum berangkat peduli lindungi juga u "
"24","dari akun sebelah ke susnd setelah sekian lama akhirnya dat orderan joki booster  sudah bisa jangan "
"25"," setelah membocorkan dan menjual  miliar database peduli lindungi yang terbaru laku telah membagikan  juta data saml g"
"26"," ntuu lngsng nylonong msuk atau hrus scan duli lindungi dlu kaa"
