"","klasifikasi","score","text"
"1","Netral",0,"yang mau tembak vaksin tan vaksinisasisuntik bisa chat harga k rdosis bayar setelah jadi bisa tembus duli "
"2","Positif",1,"jasa sertifikat vaksin dosis   am booster sertifikat tembus duli lindungibisa digunakan untuk scan syar "
"3","Netral",0,"yang mau tembak vaksin tan vaksinisasisuntik bisa chat harga k rdosis bayar setelah jadi bisa tembus duli "
"4","Netral",0,"yang mau tembak vaksin tan vaksinisasisuntik bisa chat harga k rdosis bayar setelah jadi bisa tembus duli "
"5","Negatif",-1,"sekarang kemana msih hrus scan duli lindungi gak si kamera belakang gw rusak trus kamera dennya gak bisa buat scan barcode "
"6","Netral",0," segera download duli lindungi"
"7","Netral",0," ih ya allahhh bangga banget lah mamakku pasti pas aku pulang cerita makk aku ketemu stafsus presiden yang buat peduli"
"8","Negatif",-1,"udah ada peduli lindungi masih minta print vaksin ga praktis bgt"
"9","Netral",0,"jasa sertifikat vaksindosis  am booster harga rbdosissertifikat tembus a duli lindungibisa digunak "
"10","Negatif",-1," ga nya kartu atm adanya kartu duli lindungi"
"11","Netral",0,"ih ya allahhh bangga banget lah mamakku pasti pas aku pulang cerita makk aku ketemu stafsus presiden yang buat pe "
"12","Netral",0," aikasi duli lindungi"
"13","Netral",0," hubungi duli lindungi s gue salah nomor terus mau diubah bisa"
"14","Netral",0,"jasa sertifikat vaksin dosis   am booster harga rbdosistembus diaikasi duli lindungiminat "
"15","Netral",0," engga sih ta kan ada scan duli lindungi klo diharusin berarti"
"16","Netral",0,"khairulk resct you onion tho cm ttaja indo terlalu lax buat masalah begini seenganya jgn k "
"17","Netral",0,"minjem akun duli lindungi kok maksa sih"
"18","Positif",1,"a duli lindungi ini masih dike gak sih kalo ngga mau gweh as kehadirannya kek siswa yang hadir gak hadir ke "
"19","Positif",1,"jae ke duli lindungi "
"20","Netral",0," peduli lindungi coming soon"
"21","Netral",0," gimana caranya ya kak soalnya di duli lindungi cuma bisa login ke no hsm email"
"22","Negatif",-2," kominfo dan bssn data di peduli lindungi aman karena keamananya berlas dan dienkriisekarang sebanyak  milyar data"
"23","Negatif",-1,"langsung diultimatum buat lih jadwal tiket kudu ere buat cet fit sebelum berangkat peduli lindungi juga u "
"24","Netral",0,"dari akun sebelah ke susnd setelah sekian lama akhirnya dat orderan joki booster  sudah bisa jangan "
"25","Netral",0," setelah membocorkan dan menjual  miliar database peduli lindungi yang terbaru laku telah membagikan  juta data saml g"
"26","Netral",0," ntuu lngsng nylonong msuk atau hrus scan duli lindungi dlu kaa"
"27","Positif",1,"ehhh masuk mall skrng msih ke duli lindungi ga sihh klo msihh wajib booster kahh ku blm booster t udh va "
"28","Netral",0,"a itu duli lindungi "
"29","Netral",0,"hinyai hahaha sertifikat vaksin masuk rumah sendiri harus scan duli lindungi "
"30","Negatif",-1,"hari ini seruu ul bisa byk ketemu org hebat dari wakil dekan ikologi ugm founder duli lindungi dan salah "
"31","Negatif",-1,"peduli lindungi versi china ya ini "
"32","Netral",0," akan gue sebarkan lewat aikasi duli lindungi kalo udah keterima oa"
"33","Netral",0,"  duli lindungi ci shani "
"34","Positif",2," atitude hmmmmdah cuiih lg ajasemangatberantas rnografi adalah tanggung jawab kita semua jangan tunggu sami kerabat"
"35","Negatif",-1,"check in duli lindungi makin dikit aja"
"36","Positif",1," selamat sore min numng nanya sertif vaksin booster saya belom muncul di duli lindungi akah saya bi "
"37","Negatif",-2," ntes mlebu mog dijauki login duli lindungi takhire lolos soale njauk uate dan ga ono sinyal "
"38","Negatif",-2," kominfo dan bssn data di peduli lindungi aman karena keamananya berlas dan dienkriisekarang sebanyak  milyar data"
"39","Negatif",-2," wkwk iya jangan belum ngelink sama duli lindungi bon "
"40","Netral",0," ejay blum sm indo kak msih struggle login duli lindungi"
"41","Netral",0," yuuuhuu yang mau bisa dm yakkk k rdosisss tembus duli lindungi yaaa stinyaaa zonajajan zonauang tembakvaks"
"42","Netral",0,"  iam peduli lindungi lindungi dari jeratan kebal hukum farmasi"
"43","Netral",0,"o ketawain aja dechta biasanya dibelakang layar mah saling peduli lindungi "
"44","Netral",0," peduli lindungi gawe aremania e kaann cak ji"
"45","Negatif",-1,"selamat siang mau tanya untuk kereta kaligung tujuan brebessemarang ncol untuk tanggal  des jam  si "
"46","Negatif",-1," guys sorry disini ada yg nya ssan check in duli lindungi ngga sender izin mau mnta fotonya terimakasih sblumnya"
"47","Netral",0,"yuuuhuu yang mau bisa dm yakkk k rdosisss tembus duli lindungi yaaa stinyaaa zonajajan zonauang "
"48","Netral",0," iya rlihatkan vaccine certificate di duli lindungi"
"49","Netral",0,"wal buhan km masih adalah a duli lindungi"
"50","Negatif",-2,"bangsa indonesia terlalu jinak kayak keledai aikasi peduli lindungi yg jelas merukan diskriminasi aja ga ada "
"51","Netral",0,"ket interval min  bulan dari booster  menunjukan etiket dari aikasi peduli lindungi membawa "
"52","Positif",1,"jual ticket hitc udah wristband langsung bisa masuk cuma rlu bawa ktsama duli lindungi harus hijau  jut "
"53","Negatif",-1,"ini kena duli lindungi gue kagak hitam yah"
"54","Positif",1," kalo liga indonesia ke aikasinya duli lindungi"
"55","Negatif",-1,"bingung de sm kantor kadang br selesai covid dan baru banget negative kemarin udah disuruh wfo aja hl duli li "
